EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,EpLenMean,TimeElapsed,TimestepsSoFar,meankl,optimgain,EpRewMean,entloss,entropy
7,-7.104472,0.45351005,2603,32.975,532.9978008270264,88215,0.011303346,0.45351005,7.395440419023783e-05,0.0,38.894627
8,-6.379636,0.4206637,2611,33.85,534.5927653312683,88482,0.013125425,0.4206637,6.766926957970241e-05,0.0,38.87945
8,-17.04161,0.4172241,2619,33.3,536.0957250595093,88731,0.010867067,0.4172241,5.92492414181436e-05,0.0,38.873684
9,-6.3499923,0.78238434,2628,32.925,537.6986093521118,89005,0.005585711,0.78238434,8.648161607371547e-05,0.0,38.859615
9,-7.6058273,0.17800105,2637,32.475,539.249694108963,89268,0.003998312,0.17800105,9.291791043733364e-05,0.0,38.86057
8,-5.004216,0.70241296,2645,31.375,540.9857249259949,89532,0.012641283,0.70241296,9.360999653295569e-05,0.0,38.860516
8,-10.277454,0.4681217,2653,30.575,542.6094739437103,89776,0.013604745,0.4681217,0.00010036059468201868,0.0,38.861725
7,-4.9666023,0.20049863,2660,31.075,544.2360255718231,90015,0.003962009,0.20049863,0.00010207664220051827,0.0,38.85968
9,-4.1225677,0.4836167,2669,30.55,545.9409101009369,90261,0.013364649,0.4836167,8.3109565155598e-05,0.0,38.85306
7,-4.9188333,0.32223627,2676,31.35,547.6075975894928,90499,0.010499455,0.32223627,9.202180237177343e-05,0.0,38.84564
8,-4.8800635,0.3489387,2684,31.875,549.1504483222961,90777,0.011570985,0.3489387,8.474060811964797e-05,0.0,38.848614
7,-6.2978435,0.35874712,2691,32.85,550.7414124011993,91011,0.011754657,0.35874712,9.592015863221328e-05,0.0,38.843998
7,-2.7624881,0.19309571,2698,32.525,552.4678199291229,91264,0.0038955603,0.19309571,9.91801179122987e-05,0.0,38.86115
8,-6.7691,0.6786312,2706,34.025,554.0038404464722,91524,0.013188254,0.6786312,0.00011099008636344722,0.0,38.88563
8,-11.806066,0.3653533,2714,32.975,555.7349133491516,91761,0.014809868,0.3653533,0.00011241321953984133,0.0,38.88184
8,-0.43644524,0.49665186,2722,31.5,557.3155648708344,91994,0.011795867,0.49665186,0.0001047564885977228,0.0,38.877377
6,-4.12907,0.32264498,2728,33.625,558.6961336135864,92233,0.013001721,0.32264498,9.722521030652304e-05,0.0,38.870586
