# {"t_start": 1763765866.546608, "env_id": null} 
r,l,t
1.1e-05,27,42.28675
0.00038,46,42.355217
0.000269,29,42.397499
2e-06,41,42.456533
0.0,42,42.520931
0.000103,33,42.56977
1.7e-05,25,42.605582
0.000134,32,42.731844
0.0,25,42.771904
1e-06,45,42.846438
0.000468,51,42.927186
1.2e-05,30,42.975724
1e-06,37,43.032528
0.000163,27,43.080467
3e-06,38,43.22676
0.000137,25,43.263542
0.000149,41,43.327863
8e-06,31,43.375798
0.0,21,43.407807
0.000317,47,43.483143
0.000182,28,43.530084
1e-05,22,43.562587
1.1e-05,57,43.726726
0.000358,32,43.777785
0.000416,45,43.861206
0.000158,21,43.899286
7.7e-05,31,43.954474
4.4e-05,24,43.995679
5e-06,57,44.08179
0.000167,34,44.207041
2e-06,29,44.251067
7.9e-05,32,44.299281
0.000349,31,44.347675
0.001011,29,44.390202
1.2e-05,38,44.445528
0.00011,53,44.525105
3.4e-05,29,44.573745
6e-06,24,44.688112
1.5e-05,34,44.748954
3.8e-05,52,44.836983
5.2e-05,26,44.884222
1.4e-05,26,44.930595
0.0,24,44.971537
0.0,28,45.019589
9e-05,36,45.077659
1e-06,31,45.210364
6e-06,25,45.255818
0.000155,28,45.304663
0.000116,33,45.361241
8.5e-05,25,45.406109
2e-06,31,45.457137
1e-06,28,45.508447
2.5e-05,30,45.554108
5.2e-05,30,45.598209
4.8e-05,42,45.737711
3e-05,47,45.811666
3.5e-05,37,45.878344
3.2e-05,39,45.948594
0.000107,26,45.998682
4e-06,26,46.042372
2.3e-05,31,46.086698
0.0,35,46.215967
0.0,23,46.25195
6.3e-05,38,46.30734
1e-06,38,46.365031
0.000175,42,46.424911
1.6e-05,30,46.476984
1e-06,29,46.527224
0.0,49,46.67081
1e-06,34,46.724614
0.001116,27,46.763062
0.000148,24,46.802208
0.000257,34,46.865004
1.4e-05,26,46.912653
4e-05,38,46.990812
3.2e-05,32,47.048078
1e-06,32,47.177923
8e-06,28,47.223146
2.6e-05,29,47.271216
0.0,42,47.347713
0.0,33,47.40489
0.000269,29,47.456375
1e-06,52,47.546559
4.7e-05,33,47.59401
1e-06,35,47.743287
4e-06,40,47.811271
2e-06,31,47.866604
0.000151,45,47.944801
0.000199,21,47.98084
0.000107,39,48.051179
0.000223,32,48.105458
0.0,25,48.230451
0.0,23,48.269101
5.2e-05,36,48.328798
3e-06,32,48.387269
0.000392,29,48.435113
3.9e-05,38,48.502207
4.3e-05,22,48.542343
5.3e-05,37,48.605308
8.7e-05,45,48.763614
2e-06,24,48.80455
0.000134,34,48.864835
2.3e-05,54,48.965715
0.000105,31,49.029828
0.0,29,49.090212
4e-05,42,49.166615
2.6e-05,45,49.336219
3.3e-05,26,49.373413
1.5e-05,23,49.409738
0.000308,50,49.497307
6e-06,45,49.577418
3e-06,38,49.634482
2e-06,29,49.685129
0.0,30,49.814714
0.0,30,49.87055
0.000279,61,49.974513
0.000464,31,50.031797
0.000199,27,50.082403
2e-06,34,50.144627
8e-06,38,50.210515
1e-06,24,50.253855
1e-06,31,50.387455
6.1e-05,38,50.451177
8e-06,36,50.522341
0.00039,26,50.568388
5.2e-05,33,50.6264
7.4e-05,28,50.678892
2.5e-05,24,50.732353
0.0,27,50.777545
5.3e-05,47,50.981057
1.5e-05,31,51.056198
6.7e-05,32,51.137413
6.2e-05,34,51.217564
1e-05,34,51.301767
3e-05,32,51.372528
9.5e-05,40,51.451595
0.000222,37,51.606793
4e-06,30,51.65859
9e-06,28,51.706743
4.7e-05,40,51.772999
3.1e-05,35,51.836001
1e-06,29,51.884305
0.000374,23,51.929129
4.9e-05,30,51.987859
1.2e-05,35,52.133826
0.000134,33,52.191881
5e-06,33,52.251641
0.00026,28,52.297614
1.4e-05,33,52.356208
8.5e-05,20,52.392415
5.6e-05,29,52.442477
3.4e-05,51,52.531694
7.6e-05,41,52.694016
1e-06,27,52.746436
1.8e-05,32,52.807932
0.000131,45,52.884377
0.000177,42,52.961567
0.000238,25,53.004617
1.3e-05,29,53.054119
0.000246,26,53.09867
8.1e-05,41,53.246189
